Pulls,Machine,DateTime
78,SL001,2019-03-05 15:00
270,SL001,2019-03-05 00:00
292,SL001,2019-03-28 20:00
219,SL001,2019-03-10 06:00
242,SL001,2019-03-02 14:00
147,SL001,2019-03-06 23:00
61,SL001,2019-03-02 09:00
141,SL001,2019-03-08 00:00
264,SL001,2019-03-20 23:00
110,SL001,2019-03-20 02:00
104,SL001,2019-03-26 08:00
179,SL001,2019-03-16 02:00
22,SL001,2019-03-15 05:00
101,SL001,2019-03-25 20:00
91,SL001,2019-03-19 11:00
213,SL001,2019-03-28 17:00
213,SL001,2019-03-05 01:00
279,SL001,2019-03-24 17:00
30,SL001,2019-03-06 17:00
91,SL001,2019-03-26 21:00
230,SL001,2019-03-04 13:00
156,SL001,2019-03-12 13:00
96,SL001,2019-03-18 18:00
137,SL001,2019-03-24 07:00
248,SL001,2019-03-18 06:00
200,SL001,2019-03-25 17:00
60,SL001,2019-03-06 10:00
1,SL001,2019-03-28 02:00
97,SL001,2019-03-29 10:00
276,SL001,2019-03-24 04:00
212,SL001,2019-03-22 23:00
91,SL001,2019-03-15 00:00
52,SL001,2019-03-12 18:00
32,SL001,2019-03-07 08:00
62,SL001,2019-03-03 03:00
111,SL001,2019-03-20 11:00
211,SL001,2019-03-13 15:00
158,SL001,2019-03-24 06:00
5,SL001,2019-03-10 17:00
114,SL001,2019-03-25 07:00
155,SL001,2019-03-03 18:00
198,SL001,2019-03-27 16:00
29,SL001,2019-03-20 06:00
20,SL001,2019-03-03 09:00
115,SL001,2019-03-24 00:00
54,SL001,2019-03-15 21:00
295,SL001,2019-03-25 21:00
200,SL001,2019-03-18 02:00
197,SL001,2019-03-23 04:00
44,SL001,2019-03-23 12:00
291,SL001,2019-03-24 08:00
145,SL001,2019-03-02 00:00
222,SL001,2019-03-03 13:00
290,SL001,2019-03-06 08:00
206,SL001,2019-03-13 02:00
1,SL001,2019-03-07 20:00
5,SL001,2019-03-02 21:00
100,SL001,2019-03-03 19:00
127,SL001,2019-03-10 05:00
83,SL001,2019-03-02 17:00
206,SL001,2019-03-14 20:00
106,SL001,2019-03-06 11:00
177,SL001,2019-03-12 12:00
214,SL001,2019-03-21 18:00
166,SL001,2019-03-22 05:00
51,SL001,2019-03-23 18:00
119,SL001,2019-03-13 20:00
37,SL001,2019-03-18 10:00
134,SL001,2019-03-02 15:00
84,SL001,2019-03-09 00:00
244,SL001,2019-03-14 01:00
179,SL001,2019-03-10 14:00
274,SL001,2019-03-16 17:00
119,SL001,2019-03-21 19:00
225,SL001,2019-03-16 21:00
289,SL001,2019-03-03 01:00
264,SL001,2019-03-13 10:00
250,SL001,2019-03-04 22:00
218,SL001,2019-03-20 07:00
244,SL001,2019-03-06 18:00
151,SL001,2019-03-27 09:00
165,SL001,2019-03-07 04:00
218,SL001,2019-03-26 04:00
69,SL001,2019-03-21 09:00
2,SL001,2019-03-12 00:00
201,SL001,2019-03-13 13:00
53,SL001,2019-03-15 11:00
138,SL001,2019-03-24 20:00
204,SL001,2019-03-25 13:00
93,SL001,2019-03-07 11:00
164,SL001,2019-03-01 01:00
274,SL001,2019-03-19 02:00
209,SL001,2019-03-03 11:00
196,SL001,2019-03-02 11:00
238,SL001,2019-03-17 19:00
245,SL001,2019-03-14 11:00
27,SL001,2019-03-19 12:00
4,SL001,2019-03-03 15:00
104,SL001,2019-03-23 23:00
247,SL001,2019-03-09 08:00
175,SL001,2019-03-10 23:00
31,SL001,2019-03-16 18:00
188,SL001,2019-03-27 08:00
129,SL001,2019-03-14 17:00
246,SL001,2019-03-10 10:00
57,SL001,2019-03-23 19:00
275,SL001,2019-03-04 03:00
167,SL001,2019-03-04 01:00
199,SL001,2019-03-11 11:00
67,SL001,2019-03-20 13:00
45,SL001,2019-03-14 13:00
134,SL001,2019-03-09 11:00
76,SL001,2019-03-13 14:00
76,SL001,2019-03-28 16:00
263,SL001,2019-03-08 22:00
248,SL001,2019-03-24 10:00
253,SL001,2019-03-28 10:00
268,SL001,2019-03-12 08:00
292,SL001,2019-03-22 02:00
300,SL001,2019-03-22 10:00
278,SL001,2019-03-21 06:00
61,SL001,2019-03-21 03:00
83,SL001,2019-03-17 21:00
223,SL001,2019-03-16 08:00
252,SL001,2019-03-28 04:00
56,SL001,2019-03-04 17:00
58,SL001,2019-03-29 17:00
71,SL001,2019-03-15 08:00
147,SL001,2019-03-11 13:00
232,SL001,2019-03-08 16:00
160,SL001,2019-03-15 17:00
136,SL001,2019-03-15 01:00
152,SL001,2019-03-17 09:00
235,SL001,2019-03-18 17:00
141,SL001,2019-03-20 18:00
223,SL001,2019-03-21 17:00
284,SL001,2019-03-11 14:00
212,SL001,2019-03-18 05:00
24,SL001,2019-03-07 05:00
124,SL001,2019-03-08 10:00
83,SL001,2019-03-25 09:00
50,SL001,2019-03-10 19:00
41,SL001,2019-03-14 00:00
15,SL001,2019-03-22 01:00
9,SL001,2019-03-04 23:00
46,SL001,2019-03-01 12:00
207,SL001,2019-03-07 12:00
2,SL001,2019-03-29 09:00
22,SL001,2019-03-12 04:00
54,SL001,2019-03-16 03:00
6,SL001,2019-03-06 05:00
34,SL001,2019-03-24 22:00
95,SL001,2019-03-12 16:00
216,SL001,2019-03-14 09:00
107,SL001,2019-03-08 07:00
270,SL001,2019-03-03 14:00
138,SL001,2019-03-23 17:00
159,SL001,2019-03-10 11:00
103,SL001,2019-03-22 08:00
177,SL001,2019-03-01 04:00
245,SL001,2019-03-29 22:00
71,SL001,2019-03-16 13:00
199,SL001,2019-03-14 02:00
262,SL001,2019-03-11 12:00
97,SL001,2019-03-03 00:00
39,SL001,2019-03-25 14:00
143,SL001,2019-03-19 07:00
102,SL001,2019-03-20 15:00
162,SL001,2019-03-19 03:00
105,SL001,2019-03-25 02:00
125,SL001,2019-03-04 04:00
300,SL001,2019-03-28 19:00
65,SL001,2019-03-26 02:00
188,SL001,2019-03-09 10:00
127,SL001,2019-03-16 14:00
236,SL001,2019-03-07 17:00
267,SL001,2019-03-22 11:00
69,SL001,2019-03-02 07:00
211,SL001,2019-03-14 12:00
242,SL001,2019-03-29 03:00
7,SL001,2019-03-10 16:00
252,SL001,2019-03-21 07:00
230,SL001,2019-03-14 08:00
160,SL001,2019-03-23 05:00
3,SL001,2019-03-19 13:00
202,SL001,2019-03-23 08:00
300,SL001,2019-03-19 15:00
135,SL001,2019-03-08 11:00
216,SL001,2019-03-09 02:00
73,SL001,2019-03-18 01:00
173,SL001,2019-03-14 22:00
138,SL001,2019-03-11 21:00
251,SL001,2019-03-12 10:00
281,SL001,2019-03-06 12:00
144,SL001,2019-03-09 20:00
95,SL001,2019-03-10 01:00
22,SL001,2019-03-13 23:00
58,SL001,2019-03-27 02:00
109,SL001,2019-03-10 20:00
92,SL001,2019-03-27 04:00
98,SL001,2019-03-16 19:00
7,SL001,2019-03-01 16:00
295,SL001,2019-03-27 13:00
210,SL001,2019-03-17 01:00
243,SL001,2019-03-20 03:00
138,SL001,2019-03-13 17:00
5,SL001,2019-03-26 15:00
288,SL001,2019-03-25 18:00
185,SL001,2019-03-12 21:00
41,SL001,2019-03-29 19:00
296,SL001,2019-03-18 15:00
249,SL001,2019-03-20 14:00
33,SL001,2019-03-29 11:00
1,SL001,2019-03-28 08:00
199,SL001,2019-03-08 20:00
234,SL001,2019-03-19 20:00
5,SL001,2019-03-06 04:00
185,SL001,2019-03-08 08:00
166,SL001,2019-03-18 09:00
288,SL001,2019-03-25 04:00
211,SL001,2019-03-13 16:00
177,SL001,2019-03-13 12:00
38,SL001,2019-03-13 09:00
153,SL001,2019-03-16 09:00
214,SL001,2019-03-05 11:00
60,SL001,2019-03-02 16:00
250,SL001,2019-03-28 07:00
178,SL001,2019-03-03 17:00
71,SL001,2019-03-13 07:00
184,SL001,2019-03-12 19:00
178,SL001,2019-03-08 04:00
53,SL001,2019-03-08 17:00
122,SL001,2019-03-04 02:00
74,SL001,2019-03-21 21:00
12,SL001,2019-03-13 19:00
29,SL001,2019-03-05 23:00
78,SL001,2019-03-29 04:00
13,SL001,2019-03-18 13:00
166,SL001,2019-03-02 02:00
281,SL001,2019-03-08 21:00
173,SL001,2019-03-19 05:00
212,SL001,2019-03-07 13:00
257,SL001,2019-03-19 10:00
102,SL001,2019-03-15 15:00
94,SL001,2019-03-02 20:00
170,SL001,2019-03-09 22:00
269,SL001,2019-03-18 14:00
34,SL001,2019-03-20 05:00
189,SL001,2019-03-27 17:00
282,SL001,2019-03-11 10:00
86,SL001,2019-03-09 05:00
199,SL001,2019-03-13 01:00
203,SL001,2019-03-27 10:00
259,SL001,2019-03-17 07:00
233,SL001,2019-03-08 19:00
46,SL001,2019-03-07 09:00
105,SL001,2019-03-20 17:00
149,SL001,2019-03-28 23:00
19,SL001,2019-03-19 01:00
77,SL001,2019-03-22 06:00
169,SL001,2019-03-21 23:00
193,SL001,2019-03-24 11:00
216,SL001,2019-03-19 16:00
283,SL001,2019-03-11 07:00
178,SL001,2019-03-17 22:00
210,SL001,2019-03-15 04:00
264,SL001,2019-03-15 07:00
180,SL001,2019-03-21 20:00
293,SL001,2019-03-05 04:00
13,SL001,2019-03-11 00:00
52,SL001,2019-03-16 05:00
281,SL001,2019-03-20 21:00
96,SL001,2019-03-11 19:00
62,SL001,2019-03-17 14:00
280,SL001,2019-03-01 06:00
165,SL001,2019-03-26 16:00
296,SL001,2019-03-05 09:00
128,SL001,2019-03-03 23:00
105,SL001,2019-03-05 17:00
218,SL001,2019-03-19 21:00
93,SL001,2019-03-13 03:00
33,SL001,2019-03-12 03:00
285,SL001,2019-03-26 17:00
73,SL001,2019-03-15 02:00
42,SL001,2019-03-29 16:00
228,SL001,2019-03-05 02:00
249,SL001,2019-03-17 23:00
29,SL001,2019-03-15 09:00
189,SL001,2019-03-03 12:00
52,SL001,2019-03-12 07:00
102,SL001,2019-03-01 19:00
17,SL001,2019-03-07 01:00
237,SL001,2019-03-13 18:00
237,SL001,2019-03-10 13:00
63,SL001,2019-03-11 01:00
27,SL001,2019-03-03 10:00
229,SL001,2019-03-09 15:00
104,SL001,2019-03-11 03:00
105,SL001,2019-03-01 02:00
112,SL001,2019-03-23 21:00
106,SL001,2019-03-05 14:00
80,SL001,2019-03-09 13:00
257,SL001,2019-03-06 09:00
56,SL001,2019-03-22 21:00
234,SL001,2019-03-26 19:00
295,SL001,2019-03-14 15:00
9,SL001,2019-03-17 06:00
118,SL001,2019-03-21 04:00
275,SL001,2019-03-12 09:00
209,SL001,2019-03-25 23:00
192,SL001,2019-03-11 22:00
120,SL001,2019-03-20 22:00
35,SL001,2019-03-25 05:00
206,SL001,2019-03-08 23:00
222,SL001,2019-03-28 06:00
24,SL001,2019-03-28 13:00
79,SL001,2019-03-26 12:00
241,SL001,2019-03-10 08:00
180,SL001,2019-03-18 12:00
101,SL001,2019-03-03 07:00
55,SL001,2019-03-04 12:00
274,SL001,2019-03-04 09:00
23,SL001,2019-03-26 20:00
268,SL001,2019-03-14 07:00
283,SL001,2019-03-01 22:00
131,SL001,2019-03-22 03:00
5,SL001,2019-03-02 22:00
247,SL001,2019-03-01 07:00
207,SL001,2019-03-11 05:00
290,SL001,2019-03-17 12:00
132,SL001,2019-03-15 16:00
179,SL001,2019-03-26 18:00
118,SL001,2019-03-04 08:00
178,SL001,2019-03-26 00:00
263,SL001,2019-03-04 15:00
154,SL001,2019-03-18 19:00
75,SL001,2019-03-29 23:00
214,SL001,2019-03-04 14:00
141,SL001,2019-03-17 15:00
154,SL001,2019-03-19 00:00
240,SL001,2019-03-12 17:00
281,SL001,2019-03-10 15:00
171,SL001,2019-03-26 13:00
155,SL001,2019-03-02 12:00
79,SL001,2019-03-06 00:00
114,SL001,2019-03-29 06:00
106,SL001,2019-03-21 10:00
140,SL001,2019-03-14 14:00
265,SL001,2019-03-16 04:00
104,SL001,2019-03-05 16:00
236,SL001,2019-03-28 00:00
29,SL001,2019-03-02 06:00
297,SL001,2019-03-09 14:00
210,SL001,2019-03-05 22:00
161,SL001,2019-03-11 23:00
174,SL001,2019-03-18 21:00
179,SL001,2019-03-16 00:00
227,SL001,2019-03-18 16:00
180,SL001,2019-03-23 06:00
150,SL001,2019-03-27 06:00
208,SL001,2019-03-05 03:00
255,SL001,2019-03-16 23:00
41,SL001,2019-03-22 22:00
186,SL001,2019-03-10 03:00
86,SL001,2019-03-27 03:00
27,SL001,2019-03-28 18:00
17,SL001,2019-03-24 13:00
291,SL001,2019-03-17 02:00
72,SL001,2019-03-22 07:00
196,SL001,2019-03-07 18:00
243,SL001,2019-03-10 22:00
260,SL001,2019-03-14 04:00
110,SL001,2019-03-18 08:00
66,SL001,2019-03-18 11:00
78,SL001,2019-03-24 14:00
43,SL001,2019-03-26 07:00
46,SL001,2019-03-13 08:00
286,SL001,2019-03-06 03:00
148,SL001,2019-03-25 03:00
125,SL001,2019-03-15 12:00
275,SL001,2019-03-23 07:00
180,SL001,2019-03-12 06:00
181,SL001,2019-03-09 04:00
201,SL001,2019-03-25 12:00
177,SL001,2019-03-07 03:00
163,SL001,2019-03-29 00:00
224,SL001,2019-03-27 20:00
42,SL001,2019-03-19 14:00
60,SL001,2019-03-26 01:00
68,SL001,2019-03-27 19:00
23,SL001,2019-03-15 19:00
288,SL001,2019-03-11 17:00
228,SL001,2019-03-27 11:00
295,SL001,2019-03-25 15:00
53,SL001,2019-03-12 22:00
163,SL001,2019-03-19 19:00
160,SL001,2019-03-09 21:00
48,SL001,2019-03-08 01:00
286,SL001,2019-03-11 09:00
198,SL001,2019-03-29 21:00
210,SL001,2019-03-03 16:00
211,SL001,2019-03-11 16:00
117,SL001,2019-03-15 20:00
232,SL001,2019-03-08 09:00
111,SL001,2019-03-12 02:00
144,SL001,2019-03-16 20:00
262,SL001,2019-03-29 18:00
196,SL001,2019-03-11 08:00
239,SL001,2019-03-14 05:00
211,SL001,2019-03-07 00:00
65,SL001,2019-03-24 18:00
182,SL001,2019-03-14 06:00
134,SL001,2019-03-15 14:00
167,SL001,2019-03-27 00:00
201,SL001,2019-03-21 11:00
203,SL001,2019-03-17 10:00
24,SL001,2019-03-05 13:00
106,SL001,2019-03-21 01:00
76,SL001,2019-03-29 20:00
167,SL001,2019-03-27 23:00
218,SL001,2019-03-18 20:00
34,SL001,2019-03-02 03:00
283,SL001,2019-03-12 14:00
164,SL001,2019-03-22 12:00
186,SL001,2019-03-17 00:00
189,SL001,2019-03-19 08:00
178,SL001,2019-03-17 16:00
275,SL001,2019-03-16 15:00
129,SL001,2019-03-16 07:00
166,SL001,2019-03-29 14:00
278,SL001,2019-03-15 13:00
214,SL001,2019-03-11 15:00
121,SL001,2019-03-01 11:00
29,SL001,2019-03-27 22:00
39,SL001,2019-03-14 19:00
294,SL001,2019-03-25 00:00
50,SL001,2019-03-23 15:00
203,SL001,2019-03-07 15:00
228,SL001,2019-03-06 22:00
61,SL001,2019-03-26 14:00
239,SL001,2019-03-17 20:00
64,SL001,2019-03-01 15:00
61,SL001,2019-03-15 18:00
287,SL001,2019-03-01 05:00
44,SL001,2019-03-05 07:00
157,SL001,2019-03-24 21:00
146,SL001,2019-03-14 18:00
61,SL001,2019-03-23 13:00
243,SL001,2019-03-07 22:00
19,SL001,2019-03-27 21:00
299,SL001,2019-03-04 19:00
212,SL001,2019-03-26 22:00
203,SL001,2019-03-11 04:00
263,SL001,2019-03-17 08:00
180,SL001,2019-03-28 01:00
196,SL001,2019-03-08 12:00
88,SL001,2019-03-17 03:00
137,SL001,2019-03-24 05:00
254,SL001,2019-03-28 03:00
40,SL001,2019-03-07 10:00
150,SL001,2019-03-07 14:00
8,SL001,2019-03-13 22:00
159,SL001,2019-03-09 12:00
185,SL001,2019-03-13 21:00
96,SL001,2019-03-11 06:00
271,SL001,2019-03-23 20:00
125,SL001,2019-03-29 08:00
40,SL001,2019-03-25 22:00
86,SL001,2019-03-05 06:00
47,SL001,2019-03-15 10:00
8,SL001,2019-03-18 00:00
51,SL001,2019-03-01 17:00
294,SL001,2019-03-14 16:00
113,SL001,2019-03-27 07:00
8,SL001,2019-03-05 12:00
60,SL001,2019-03-21 08:00
120,SL001,2019-03-23 14:00
231,SL001,2019-03-12 15:00
24,SL001,2019-03-17 05:00
249,SL001,2019-03-08 03:00
3,SL001,2019-03-13 06:00
106,SL001,2019-03-22 13:00
72,SL001,2019-03-12 20:00
242,SL001,2019-03-15 22:00
49,SL001,2019-03-04 16:00
76,SL001,2019-03-02 13:00
83,SL001,2019-03-14 21:00
284,SL001,2019-03-07 23:00
127,SL001,2019-03-28 11:00
26,SL001,2019-03-14 23:00
137,SL001,2019-03-21 13:00
59,SL001,2019-03-21 12:00
98,SL001,2019-03-22 16:00
274,SL001,2019-03-02 18:00
289,SL001,2019-03-10 00:00
276,SL001,2019-03-21 14:00
133,SL001,2019-03-16 22:00
183,SL001,2019-03-06 02:00
258,SL001,2019-03-17 18:00
248,SL001,2019-03-22 20:00
9,SL001,2019-03-20 04:00
285,SL001,2019-03-25 11:00
89,SL001,2019-03-15 03:00
144,SL001,2019-03-05 18:00
83,SL001,2019-03-22 19:00
198,SL001,2019-03-25 06:00
61,SL001,2019-03-07 06:00
258,SL001,2019-03-26 09:00
260,SL001,2019-03-19 06:00
2,SL001,2019-03-16 10:00
205,SL001,2019-03-06 15:00
184,SL001,2019-03-27 01:00
51,SL001,2019-03-25 10:00
157,SL001,2019-03-24 03:00
202,SL001,2019-03-08 14:00
273,SL001,2019-03-08 15:00
139,SL001,2019-03-06 13:00
77,SL001,2019-03-01 20:00
236,SL001,2019-03-09 06:00
163,SL001,2019-03-29 07:00
44,SL001,2019-03-07 21:00
52,SL001,2019-03-19 22:00
233,SL001,2019-03-16 12:00
38,SL001,2019-03-04 11:00
197,SL001,2019-03-01 21:00
270,SL001,2019-03-28 09:00
200,SL001,2019-03-19 18:00
259,SL001,2019-03-04 05:00
102,SL001,2019-03-01 09:00
161,SL001,2019-03-19 09:00
20,SL001,2019-03-11 02:00
168,SL001,2019-03-14 10:00
297,SL001,2019-03-15 06:00
152,SL001,2019-03-27 14:00
58,SL001,2019-03-22 14:00
216,SL001,2019-03-04 21:00
34,SL001,2019-03-23 11:00
168,SL001,2019-03-20 09:00
